vegetable_name,season,year,month,supply_level,demand_level,location,market_type,rainfall_index,quality_grade,holiday_season_flag,Price
Brinjal,Summer,2024,1,301,919,Mumbai,Retail,67.85590817,B,1,72.67
Onion,Rainy,2021,6,935,739,Hyderabad,Wholesale,83.70385773,C,0,26.99
Onion,Summer,2021,2,205,754,Kolkata,Wholesale,3.285750973,A,0,76.01
Carrot,Summer,2022,10,751,530,Delhi,Wholesale,4.842527093,A,1,65.19
Tomato,Winter,2023,8,303,671,Hyderabad,Retail,14.60694956,C,0,49.54
Brinjal,Winter,2021,11,488,213,Delhi,Wholesale,27.26398744,B,1,43.83
Carrot,Rainy,2024,1,798,612,Chennai,Wholesale,23.90809898,B,1,51.94
Brinjal,Summer,2024,2,369,805,Hyderabad,Wholesale,60.04594572,A,0,67.72
Tomato,Winter,2021,1,566,177,Hyderabad,Retail,58.54999245,C,1,36.95
Carrot,Winter,2024,11,901,898,Bangalore,Wholesale,13.4223642,B,1,54.42
Potato,Rainy,2023,8,532,884,Bangalore,Retail,47.94684107,A,0,52.51
Carrot,Winter,2021,10,206,456,Bangalore,Retail,8.242846067,C,1,61.62
Brinjal,Rainy,2021,8,231,695,Bangalore,Retail,78.58772755,A,0,84.77
Onion,Summer,2023,1,511,568,Chennai,Wholesale,12.40821001,A,1,51.86
Carrot,Summer,2024,3,806,261,Bangalore,Wholesale,40.22591183,B,0,43.3
Onion,Winter,2023,12,241,784,Bangalore,Wholesale,92.06123609,B,1,57.47
Onion,Summer,2021,7,446,870,Delhi,Wholesale,91.10641026,C,0,35.59
Brinjal,Winter,2023,11,893,852,Bangalore,Retail,34.70040426,A,1,68.99
Onion,Summer,2024,8,458,243,Chennai,Retail,67.71244925,C,0,31.5
Tomato,Rainy,2021,8,642,634,Chennai,Retail,97.32414111,A,0,54.98
Brinjal,Summer,2023,7,512,452,Chennai,Wholesale,65.45886675,C,0,35.96
Onion,Summer,2024,5,308,299,Hyderabad,Retail,83.66719694,C,0,34.31
Brinjal,Winter,2022,11,652,815,Chennai,Retail,80.64569602,C,1,47.61
Potato,Summer,2024,6,245,197,Delhi,Retail,37.79889401,C,0,29.49
Brinjal,Rainy,2024,1,283,160,Chennai,Wholesale,3.854176313,B,1,45.92
Onion,Summer,2024,8,171,673,Mumbai,Retail,8.616569501,C,0,59.39
Potato,Winter,2021,9,827,254,Delhi,Retail,30.71826517,A,0,38.17
Tomato,Rainy,2023,7,450,745,Hyderabad,Wholesale,16.14848175,A,0,57.78
Onion,Rainy,2023,4,578,457,Kolkata,Retail,89.23756105,A,0,48.17
Potato,Summer,2024,6,236,327,Kolkata,Wholesale,36.40317527,A,0,41.2
Brinjal,Summer,2021,9,488,196,Bangalore,Retail,29.20360979,B,0,46.44
Tomato,Winter,2021,3,579,292,Chennai,Retail,22.48606976,B,0,42.63
Potato,Summer,2022,5,321,402,Kolkata,Wholesale,62.24297205,C,0,26.13
Onion,Rainy,2021,4,274,737,Delhi,Wholesale,54.08231732,C,0,42.46
Brinjal,Summer,2022,3,893,711,Hyderabad,Wholesale,12.45287075,C,0,37.11
Brinjal,Summer,2024,9,249,475,Delhi,Retail,33.86145104,C,0,50.78
Brinjal,Rainy,2023,1,660,697,Kolkata,Retail,67.78196448,B,1,54.78
Carrot,Summer,2023,4,757,526,Delhi,Wholesale,28.84246445,B,0,47.09
Onion,Rainy,2022,7,817,346,Hyderabad,Wholesale,78.23822767,A,0,35.85
Potato,Winter,2024,1,792,163,Delhi,Retail,43.31577442,B,1,33.12
Potato,Rainy,2022,8,714,674,Chennai,Wholesale,11.73383453,B,0,30.01
Carrot,Rainy,2022,9,632,611,Kolkata,Retail,95.5910941,A,0,67.33
Brinjal,Summer,2024,4,852,179,Hyderabad,Wholesale,29.11009851,A,0,47.16
Tomato,Rainy,2023,1,581,416,Kolkata,Wholesale,16.31120707,A,1,52.23
Potato,Summer,2022,3,706,209,Chennai,Wholesale,2.39253531,C,0,20.88
Tomato,Summer,2021,7,249,324,Bangalore,Wholesale,73.18065149,B,0,40.74
Onion,Rainy,2021,2,786,592,Bangalore,Retail,96.3984613,C,0,32.23
Tomato,Rainy,2024,12,341,444,Mumbai,Retail,95.9988519,A,1,63.56
Brinjal,Summer,2024,9,232,850,Hyderabad,Wholesale,90.8553675,C,0,56.27
Potato,Summer,2022,12,875,323,Hyderabad,Retail,86.31834789,A,1,41.08
Onion,Rainy,2023,9,625,388,Chennai,Retail,4.199733091,A,0,50.51
Carrot,Rainy,2021,1,682,451,Mumbai,Retail,51.42468231,C,1,48.35
Tomato,Summer,2022,12,939,156,Delhi,Wholesale,98.01253937,B,1,33.57
Carrot,Summer,2021,6,297,403,Chennai,Retail,11.76361555,A,0,75.88
Tomato,Summer,2022,1,218,430,Kolkata,Retail,88.7654499,C,1,48.55
Carrot,Winter,2021,5,924,289,Hyderabad,Retail,31.02723774,A,0,63.21
Onion,Summer,2021,9,501,551,Chennai,Retail,22.13409024,B,0,43.99
Onion,Summer,2021,6,660,519,Kolkata,Retail,37.54050365,C,0,34.48
Potato,Summer,2023,12,204,870,Mumbai,Wholesale,78.46745869,B,1,61.06
Onion,Rainy,2022,9,944,305,Chennai,Wholesale,22.31771606,A,0,37.52
Tomato,Winter,2022,12,292,347,Kolkata,Wholesale,92.93610976,A,1,53.68
Tomato,Summer,2024,6,230,204,Bangalore,Retail,52.44397186,A,0,56.06
Onion,Winter,2022,7,312,256,Mumbai,Retail,75.82306604,A,0,49.16
Onion,Summer,2024,1,165,524,Delhi,Wholesale,7.439224011,B,1,60.11
Onion,Summer,2023,4,663,419,Bangalore,Wholesale,95.16899541,C,0,25.39
Potato,Summer,2023,4,703,424,Bangalore,Wholesale,28.60057671,C,0,22.33
Carrot,Summer,2023,10,868,314,Hyderabad,Retail,34.28228828,A,1,68.6
Tomato,Summer,2021,6,212,157,Hyderabad,Retail,47.91311317,C,0,37.16
Carrot,Rainy,2023,7,923,842,Chennai,Wholesale,11.15265837,C,0,42.29
Carrot,Winter,2023,11,807,296,Delhi,Retail,90.53500406,B,1,52.68
Brinjal,Summer,2021,9,847,884,Mumbai,Wholesale,16.3509091,B,0,45.73
Carrot,Rainy,2024,5,718,781,Kolkata,Wholesale,4.679368851,A,0,64.49
Potato,Summer,2023,9,731,803,Hyderabad,Wholesale,66.72096092,C,0,24.82
Brinjal,Summer,2023,5,895,357,Kolkata,Wholesale,61.78505591,C,0,32.4
Tomato,Summer,2022,8,540,342,Chennai,Retail,92.93424711,C,0,34.83
Onion,Rainy,2022,3,249,661,Hyderabad,Wholesale,61.41248262,A,0,61.67
Brinjal,Rainy,2023,2,325,359,Delhi,Wholesale,78.61644067,B,0,43.77
Onion,Summer,2021,7,931,436,Chennai,Retail,99.18274413,B,0,35.24
Brinjal,Winter,2023,2,931,312,Hyderabad,Wholesale,47.13331555,A,0,47.66
Potato,Rainy,2024,4,404,535,Chennai,Wholesale,3.468170713,A,0,42.19
Carrot,Winter,2021,1,427,298,Hyderabad,Retail,35.64699649,B,1,57.84
Brinjal,Winter,2023,10,306,321,Bangalore,Retail,69.88200703,B,1,54.62
Onion,Winter,2022,5,914,500,Mumbai,Retail,65.04061954,A,0,46.65
Tomato,Rainy,2023,4,773,189,Chennai,Wholesale,69.25901266,B,0,31.43
Carrot,Summer,2022,8,449,228,Hyderabad,Retail,52.28337663,B,0,51.47
Brinjal,Summer,2022,10,891,569,Hyderabad,Wholesale,26.74138338,C,1,38.82
Tomato,Rainy,2022,4,214,514,Kolkata,Retail,81.73317627,B,0,57.25
Tomato,Rainy,2021,9,677,595,Chennai,Retail,95.89699427,B,0,43.06
Brinjal,Rainy,2023,2,629,893,Chennai,Wholesale,43.40980192,C,0,40.82
Onion,Summer,2023,6,504,671,Chennai,Wholesale,85.82599899,B,0,36.53
Tomato,Winter,2023,11,281,215,Hyderabad,Retail,23.47327033,A,1,61.15
Carrot,Winter,2023,7,809,568,Kolkata,Wholesale,59.86605281,C,0,39.03
Tomato,Rainy,2023,6,492,482,Bangalore,Retail,71.44773264,B,0,44.94
Potato,Winter,2023,12,758,519,Bangalore,Wholesale,85.92895578,A,1,35.9
Tomato,Rainy,2021,11,554,460,Kolkata,Wholesale,32.47675192,B,1,42.16
Onion,Winter,2024,11,684,800,Mumbai,Wholesale,70.52131197,C,1,33.74
Potato,Rainy,2024,6,463,348,Hyderabad,Retail,95.49888912,C,0,27.14
Carrot,Summer,2022,6,444,723,Delhi,Retail,61.18014055,A,0,76.47
Tomato,Rainy,2021,3,348,367,Chennai,Retail,68.13214891,B,0,45.74
Tomato,Rainy,2023,3,610,595,Kolkata,Wholesale,4.788319166,B,0,40.57
Brinjal,Rainy,2023,7,872,462,Hyderabad,Wholesale,2.005968701,A,0,52.1
Brinjal,Rainy,2024,12,536,663,Chennai,Wholesale,64.72460298,C,1,42.09
Potato,Rainy,2021,2,358,510,Delhi,Retail,50.48619769,B,0,39.77
Onion,Summer,2022,7,687,786,Kolkata,Retail,82.75698923,B,0,41.97
Carrot,Winter,2021,2,463,319,Delhi,Retail,52.0685928,B,0,53.1
Brinjal,Winter,2021,1,705,793,Kolkata,Wholesale,13.46346576,A,1,63.21
Tomato,Summer,2021,10,835,820,Chennai,Retail,93.89396524,C,1,40.86
Brinjal,Summer,2022,3,556,386,Hyderabad,Retail,80.11202186,A,0,58.79
Carrot,Winter,2021,3,255,364,Hyderabad,Retail,9.898486566,B,0,61.4
Carrot,Summer,2021,3,892,156,Kolkata,Wholesale,89.89076745,B,0,39.98
Tomato,Rainy,2022,9,637,246,Chennai,Wholesale,14.90084255,B,0,34.87
Potato,Winter,2023,1,193,359,Hyderabad,Retail,23.79947198,B,1,48.7
Onion,Winter,2022,5,510,427,Chennai,Wholesale,4.462585996,A,0,44.18
Tomato,Summer,2023,10,169,225,Bangalore,Retail,16.87342941,C,1,46.1
Potato,Winter,2021,1,222,609,Hyderabad,Retail,46.23531369,B,1,55.73
Onion,Rainy,2023,12,297,314,Kolkata,Wholesale,89.65131015,B,1,37.9
Carrot,Rainy,2024,6,827,342,Bangalore,Retail,27.0325253,B,0,51.64
Tomato,Summer,2021,11,917,641,Mumbai,Retail,33.26895171,A,1,59.94
Onion,Rainy,2023,6,836,733,Kolkata,Wholesale,20.41935181,C,0,29.81
Potato,Summer,2024,2,903,765,Mumbai,Wholesale,0.593781152,A,0,36.99
Potato,Winter,2022,12,798,238,Bangalore,Wholesale,93.10853695,B,1,24.96
Brinjal,Winter,2023,6,654,279,Delhi,Retail,82.899744,C,0,37.84
Potato,Rainy,2021,1,399,763,Bangalore,Wholesale,88.48684837,C,1,33.68
Onion,Winter,2024,3,340,339,Bangalore,Retail,45.65180864,C,0,35.8
Brinjal,Winter,2023,7,374,537,Hyderabad,Wholesale,87.23477397,A,0,58
Potato,Winter,2021,9,577,739,Hyderabad,Retail,76.32040166,B,0,37.45
Brinjal,Rainy,2023,5,827,315,Chennai,Retail,64.39329048,B,0,44.85
Tomato,Summer,2023,7,387,559,Kolkata,Wholesale,24.19410534,C,0,37.4
Onion,Summer,2023,11,181,351,Bangalore,Wholesale,81.19315413,B,1,46.11
Carrot,Winter,2024,9,728,415,Delhi,Retail,31.85686111,B,0,52.85
Carrot,Summer,2024,2,713,261,Delhi,Retail,46.37231296,A,0,63.04
Tomato,Winter,2024,9,187,531,Kolkata,Retail,86.40038575,B,0,60.96
Brinjal,Summer,2022,5,204,246,Delhi,Wholesale,62.46095925,A,0,56.63
Potato,Winter,2021,6,773,443,Bangalore,Retail,28.4458258,A,0,41.27
Onion,Rainy,2023,12,821,628,Bangalore,Wholesale,10.08266577,B,1,38.47
Tomato,Rainy,2022,8,614,652,Chennai,Wholesale,79.13455035,C,0,32.62
Brinjal,Winter,2022,11,414,475,Mumbai,Wholesale,20.53861737,B,1,50.48
Onion,Winter,2024,12,555,523,Chennai,Wholesale,3.195271773,C,1,34.29
Tomato,Winter,2021,6,586,606,Chennai,Retail,24.21371336,C,0,40.22
Carrot,Winter,2022,1,708,661,Hyderabad,Wholesale,23.61365624,B,1,53.45
Brinjal,Summer,2022,8,524,327,Hyderabad,Retail,16.01803494,B,0,48.96
Brinjal,Winter,2022,3,492,437,Kolkata,Retail,86.08119119,A,0,60.67
Brinjal,Winter,2021,9,223,831,Delhi,Wholesale,36.93641733,B,0,68.91
Brinjal,Winter,2023,6,871,917,Chennai,Wholesale,55.64266555,B,0,44.24
Potato,Rainy,2024,3,848,810,Chennai,Wholesale,80.40381011,A,0,34.21
Onion,Rainy,2021,1,316,708,Mumbai,Retail,47.81009794,B,1,57.19
Carrot,Winter,2022,12,793,212,Delhi,Retail,21.65428086,B,1,54.54
Tomato,Winter,2022,12,692,793,Mumbai,Retail,62.90770259,B,1,50.78
Carrot,Rainy,2023,9,807,659,Chennai,Retail,17.91457351,A,0,69.53
Onion,Winter,2022,4,880,881,Bangalore,Wholesale,76.51698632,B,0,33.94
Carrot,Winter,2022,3,166,416,Mumbai,Retail,23.16697163,C,0,59.92
Tomato,Rainy,2021,6,719,550,Delhi,Wholesale,23.14182201,C,0,32.26
Carrot,Winter,2023,4,761,869,Chennai,Wholesale,12.6418991,C,0,43.99
Brinjal,Rainy,2021,4,354,891,Hyderabad,Retail,96.78020455,A,0,78.4
Carrot,Summer,2023,4,486,153,Hyderabad,Retail,86.97969083,A,0,60.44
Brinjal,Rainy,2024,5,768,490,Delhi,Retail,88.20959986,C,0,39.28
Tomato,Summer,2022,2,735,234,Kolkata,Retail,42.36679276,B,0,40.17
Potato,Summer,2021,6,323,243,Mumbai,Retail,16.39828803,B,0,35.09
Potato,Summer,2023,6,335,503,Bangalore,Wholesale,97.92762328,C,0,26.82
Tomato,Winter,2021,2,706,926,Chennai,Wholesale,24.08254321,A,0,53.53
Brinjal,Rainy,2022,12,235,214,Hyderabad,Wholesale,7.799690195,C,1,41.52
Tomato,Summer,2022,8,604,792,Kolkata,Retail,70.17966598,B,0,47.97
Onion,Winter,2021,7,925,359,Kolkata,Retail,50.22253443,C,0,31.01
Brinjal,Rainy,2024,12,373,758,Mumbai,Wholesale,8.198951458,B,1,58.91
Carrot,Summer,2022,5,905,291,Bangalore,Retail,39.17087732,A,0,62.9
Onion,Winter,2024,1,338,167,Mumbai,Wholesale,15.3181697,B,1,35.82
Onion,Summer,2022,8,696,693,Hyderabad,Retail,83.93456369,A,0,50.74
Potato,Winter,2023,6,386,166,Hyderabad,Wholesale,28.39634698,B,0,24.72
Brinjal,Summer,2021,11,369,854,Mumbai,Retail,59.20124805,B,1,66.4
Tomato,Winter,2023,4,776,726,Mumbai,Retail,49.59890183,A,0,56.78
Potato,Winter,2022,4,224,557,Hyderabad,Retail,87.40840744,B,0,47.78
Brinjal,Rainy,2022,11,776,723,Mumbai,Wholesale,47.60516732,A,1,59.34
Tomato,Rainy,2024,2,345,759,Kolkata,Retail,10.37745451,A,0,72.91
Brinjal,Winter,2024,2,565,375,Bangalore,Wholesale,20.08310148,B,0,42.16
Onion,Summer,2021,7,873,253,Hyderabad,Retail,54.93642888,B,0,35.41
Carrot,Rainy,2022,2,876,368,Bangalore,Wholesale,32.68889414,B,0,44.47
Potato,Summer,2023,9,178,327,Mumbai,Retail,36.29240799,B,0,43.99
Potato,Winter,2021,10,422,902,Chennai,Retail,10.8648169,B,1,51.76
Brinjal,Winter,2023,4,790,151,Hyderabad,Wholesale,93.06123456,C,0,29.75
Tomato,Rainy,2024,3,224,711,Mumbai,Wholesale,53.96166043,C,0,49.54
Potato,Rainy,2024,2,284,678,Hyderabad,Retail,50.49508114,A,0,60.49
Potato,Winter,2024,7,379,800,Kolkata,Wholesale,29.97678882,B,0,39.75
Carrot,Winter,2021,11,933,607,Bangalore,Wholesale,9.066338685,B,1,51.49
Potato,Winter,2023,5,586,363,Delhi,Wholesale,52.89348142,C,0,21.63
Onion,Winter,2021,6,689,397,Kolkata,Retail,30.20083775,B,0,38.97
Onion,Winter,2022,9,850,506,Kolkata,Retail,6.758611894,B,0,40.08
Tomato,Summer,2021,9,835,823,Delhi,Wholesale,14.20123887,C,0,34.25
Brinjal,Rainy,2022,6,254,304,Bangalore,Retail,64.57745798,A,0,65.18
Carrot,Rainy,2023,2,570,692,Bangalore,Wholesale,79.04197134,B,0,49.75
Carrot,Rainy,2024,5,762,475,Bangalore,Retail,25.05850254,C,0,45.56
Potato,Winter,2024,6,400,552,Hyderabad,Wholesale,16.86876251,C,0,28.66
Potato,Rainy,2021,6,872,822,Delhi,Retail,44.51544207,A,0,44.62
Onion,Summer,2023,7,341,365,Chennai,Retail,93.52992528,A,0,51.08
Carrot,Rainy,2022,4,451,276,Delhi,Wholesale,88.59050886,A,0,54.94
Tomato,Summer,2022,11,678,872,Kolkata,Retail,57.62649755,C,1,44.42
Tomato,Winter,2022,6,289,278,Mumbai,Retail,80.87649954,C,0,37.73
Tomato,Summer,2023,12,270,410,Kolkata,Retail,4.254573123,C,1,47.98
Brinjal,Rainy,2022,7,796,724,Bangalore,Wholesale,52.29360003,A,0,53.85
Onion,Rainy,2024,4,642,306,Mumbai,Retail,32.38127534,B,0,37.99
Carrot,Winter,2024,8,461,350,Bangalore,Wholesale,70.06030909,A,0,57.52
Potato,Summer,2024,9,766,401,Hyderabad,Retail,87.44896325,B,0,30.21
Brinjal,Winter,2022,3,788,253,Mumbai,Retail,33.97581649,B,0,45.53
Tomato,Winter,2022,9,732,246,Hyderabad,Wholesale,5.666335951,C,0,29.57
Carrot,Winter,2021,7,645,797,Chennai,Retail,32.94318631,A,0,73.48
Onion,Rainy,2022,7,422,473,Hyderabad,Retail,72.49921599,C,0,35.84
Potato,Rainy,2021,5,742,257,Delhi,Retail,86.71258462,B,0,28.64
Onion,Winter,2023,4,475,401,Bangalore,Wholesale,2.709687722,C,0,30.15
Tomato,Summer,2023,2,442,215,Delhi,Wholesale,75.16892473,A,0,41.7
Onion,Summer,2022,10,419,672,Mumbai,Retail,9.369679734,C,1,45.07
Potato,Winter,2023,7,783,322,Hyderabad,Wholesale,45.32905422,C,0,20.3
Potato,Summer,2023,10,939,839,Hyderabad,Wholesale,3.688292637,C,1,28.8
Potato,Winter,2022,8,462,531,Mumbai,Wholesale,54.07572348,B,0,30.16
Carrot,Winter,2021,6,413,265,Chennai,Retail,28.87205269,B,0,53.61
Brinjal,Summer,2021,3,888,172,Delhi,Retail,87.25461482,A,0,52.81
Carrot,Rainy,2021,3,882,739,Kolkata,Retail,58.9517041,A,0,67.72
Tomato,Winter,2021,5,308,918,Mumbai,Wholesale,55.36948142,C,0,48.04
Carrot,Winter,2022,1,312,657,Mumbai,Retail,51.0241806,A,1,87.31
Brinjal,Rainy,2022,7,179,843,Hyderabad,Retail,69.08685549,B,0,83.39
Onion,Summer,2022,5,348,252,Kolkata,Wholesale,12.57806466,B,0,34
Tomato,Rainy,2021,1,599,246,Delhi,Wholesale,35.64572336,C,1,32.52
Carrot,Rainy,2023,4,408,288,Bangalore,Retail,37.35684472,A,0,67.3
Tomato,Winter,2021,4,902,309,Chennai,Retail,5.475560191,B,0,41.86
Carrot,Summer,2023,9,926,432,Bangalore,Wholesale,46.67899395,B,0,44.33
Carrot,Rainy,2023,12,941,743,Hyderabad,Retail,39.2607708,C,1,49.75
